38,Sweet To Mama,Frank Stokes,176.32608,1874725,Free;Edmundo Ros;Tullycraft
39,Baiao Malandro,Egberto Gismonti,236.7473,496187,The Germs;The Gathering;At The Gates;Concretes
40,Perro Faldero,Los Traileros Del Norte,163.23873,6840396,Gloria;AUDIO.3;Dean Evenson;Roy Roberts;Javier Navarrete;Choir & Great Symphony Orchestra of the All-Union Radio_ N. Shpiller_ S. Krassovsky_ V. Gagarina & N;Point Of Grace;DJ Vix;Alain-François;Pheeroan Aklaff;9th Wonder;Bandido
41,Im Club,Massive Töne,220.78649,2286375,Charlie Peacock;BoDeans;Max Melvin;Erik Tronic;Yvette Horner;Rickie Lee Jones;Teijo Joutsela and Humppa-Veikot;Lil Boosie feat. Bun B_ Trae_ Yo Gotti & Foxx
42,Raccolto,Stefano Battaglia_ Giovanni Maier_ Michele Rabbia,343.50975,1928292,Toni Braxton;The Sun Harbor's Chorus-Documentary Recordings;Willie Barcena;X-Raided featuring Teddy Bear_ Big Pook_ T-Nutty;Barley Bree;Natalie MacMaster;Nino Nardini;Northern State;Cliff Edwards/Disney Studio Chorus
43,Am I Losing You,The Cate Brothers,330.63138,2818960,Margaret Becker;Since The Flood;John Stevens;Slick Rick;Hot Live Guys;Eberhard Weber;Smartbomb;!!!
44,Con el chacacha del tren (Cancíon por Rumba),Triana Pura,202.94485,4767099,Maria Muldaur;Beatnuts with Lil' Donny;Shaman;Little Jr. Parker;The Scare
45,She's My Woman,Crusaders,117.68118,7026446,Patty Griffin
46,Inrtoduction "Hing Hye Srder,Karnig Sarkissian,476.47302,6601390,The Plasmatics;Tin Hat Trio;Jan Wayne;Beatnuts with Lil' Donny;Sugarbomb;Cheri Keaggy;Maurice Larcange;Julie Roberts;Stargarden;Georges Brassens;Massimiliano Damerini
47,Maria Betania,Quinteto Violado,391.00036,1524732,Goose;Nichols;Soilent Green;Radney Foster
48,Where Are You,Abbott & Chambers,492.45995,5751354,Bone Thugs-N-Harmony;Hatebreed;Panic At The Disco;Craig Wedren;The Chinese;Lloyd Banks;Paul Rodgers
49,Old Woman From Wexford,Tommy Makem;The Clancy Brothers,117.02812,4634841,Marshall Crenshaw;Freddie McGregor;Nic Endo;Mr.De'
50,Master Mantrol (Dub / Instrumental Reggae Music),Mikey Dread,261.79873,2830272,Bodies In the Gears of the Apparatus;Hurricane;Danny Elfman;The Game / Nas;Morgion;Lonnie Brooks;Inspector 9;Vic Chou
51,Love_ Respect & Loyalty (feat. Sophie & Cait La Lee),Proficy,230.24281,6410486,Sandy Lam;Joey McIntyre;Mago de Oz;Rocky Whatule
52,Earth Child (World),Sharon Burch,225.72363,5868742,Patty Griffin;Digital Mystikz;Various Production;Ed Byrne;M83;John Travolta / Christopher Walken;Rude Boys
53,Price I Pay,Jane's Addiction,327.1571,1564923,Fran Perea;Olivia Ruiz;Barbara Fairchild;Khold;Marc Lavoine;Jeff Beck Group;Wes King;Ty Herndon;Stephanie Bentley
54,Silent Night (Featuring Geoffrey Jones_ Terrence "T-Bone" Frierson_ Billy Steele),Sounds Of Blackness,235.65016,2402000,The Aftermath;KRS-One;Carl Cox Vs Yousef
55,My Man's Gone Now,Rhian Lois,219.95057,6462046,Phil Collins;Black Flag;Steve Harvey;André Blot;The Cure
56,Master_ Faster_ Sweet Desaster,Nightfall,207.77751,3705310,Toby Love;Steel Pulse;Johnny Cash
57,Never Again (Album Version),Killswitch Engage,189.20444,5563226,Bill Douglas;David Saylor;Special Duties;Philly's Most Wanted;Chalk Farm
58,Sweet Child O' Mine,Guns N' Roses,445.17832,4773702,Julio Iglesias Jr;Hot Chip;Dave Graney & Clare Moore;Ty Herndon;Stephanie Bentley
59,Komm Computer,Frl.Menke,229.51138,8381681,Crematorium;Charlie McCoy;Corderoy
60,Blues As Blues Can Get,Chris Farlowe,395.93751,6705867,Fabolous;Gran Coquivacoa_ Neguito Borjas;Michèle Crider;Eleonora Jankovic;Vincenzo La Scola;Riccardo Muti
61,Gyere velem,Taboo,213.002,1347972,Don Francisco;Bob Willis;Badmarsh & Shri;Gustavo Cerati;Paul Glazby;The Game / Nas;Chris Standring
62,I Wonder Where You Are Tonight,Carl Smith,141.06077,8212158,RUN-DMC;Jimmy Cliff;Dub Pistols feat. TK & JMS;Marvin Sapp;Shy FX & T Power;Albert Préjean;Dr Bombay
63,Empty Bottles,The Hollywood Brats,41.16853,7272683,Montserrat Caballé/Orchestra of the Royal Opera House_ Covent Garden/Carlo Maria Giulini;Maurane;Wendy Moten;Adrienne Pierce
64,Husbands And Wives,Roger Miller,146.23302,228016,Tresenlesen;Dub Pistols feat. Rodney P & Terry Hall;Toby Love featuring Julio Voltio;Fabri Fibra;The Exies;Bullethole
65,She Spoke 2 Me ( Extended Remix LP Version),Prince,500.29669,1181141,Wyclef Jean;Maria Forde;Dean Martin;Alacranes Musical
66,Bootleg Rum Dum Blues,Blind Blake,220.26404,1480928,Groundhogs;The Sonics;Jacques Douai;Manuel & The Music Of The Mountains;John Fogerty;Mariachi Silvestre Vargas;Plump DJs;Dale Hawkins;Jaydee;Melatonin;Audio Pyper;David Martin;Modern Lovers;Tsar;Marco Rima;Stevie Ray Vaughan
67,Tu Ex Amor,El Tiempo,179.51302,6466778,The Doors;Nick Cave & The Bad Seeds;Ragheb Alama;Mighty Joe Young;Gisselle;Yuridia;Flutlicht;Yellowcard;Michèle Crider;Eleonora Jankovic;Vincenzo La Scola;Riccardo Muti
68,Be Stiff (Live),Devo,175.25506,309584,The Highwaymen;Cindy Morgan;Mike Vax;Eddy Raven;My Chemical Romance
69,God Keeps A Candle,The Nelons,236.5122,2677828,Groupa Med Lena Willemark;Liars;Sue Foley;Wendy Moten;Sara Melson;Gunther & the Sunshine Girls;Her Majesty's Finest;Leon Russell;Chico Hamilton
70,The Gold It's In The ... (1996 Digital Remaster),Pink Floyd,188.1073,7517,Steel Rain;Martina McBride;Kix;Sheila Walsh;Jean Carnigan;Rance Allen Group;Wordsworth feat. Adanita Ross
71,Hasta Los Huesos,Andy & Lucas,208.92689,3376189,Gran Coquivacoa_ Neguito Borjas;Hey Colossus;Dusminguet;Leon Russell & New Grass Revival;PitchBlack
72,Hesitation Blues,Hot Tuna,304.45669,3316525,Pictures of Then;He Is Legend;unloco;The Gone Jackals;Stress Assassin;Belami;Marc Lavoine
73,Cumberland Gap,Danny Barnes,160.46975,5568639,The Cardigans;Månegarm;Kari Tapio;Très;Robin Fox;Tanika Turner;Morgion
74,Mood Indigo,The Knightsbridge Strings,185.93914,8791871,Michael Convertino;KMD;Sticky Fingaz
75,Superstar,For Squirrels,200.07138,3162893,P.O.D.;Jack Miles;Tito Rodriguez;Kitaro;Dolores Keane;Pretty Boy Floyd;Elva Hsiao;John Mayall & The Bluesbreakers;Nicole C. Mullen;Dream Warriors;Edelweiss;The Velvet Underground;Anna Vissi;DÉSOLÉ
76,Love Oh Love (Live in Chicago),Leroy Huston,291.57832,1436789,Edelweiss;Information Society;Lisa Lynne;Amoral;Fortitude;Billy Price_ Fred Chapellier;Elli Kokkinou
77,I Just Love Old People (Rocky Mountain Homecoming Version),Jake Hess,154.61832,1633266,Vincent Bruley;The Rance Allen Group;Memphis La Blusera;Shirley Caesar;Dolly Parton;Al Toomer;Bruisers;Los Fernandos;Sonny Landreth
78,MONDAY_ MONDAY,Bobby Broom,481.48853,256235,Utopia;Dead Kennedys;GG Allin;Madilu System;DJ Spinn featuring Traxman;Vonray
79,The World In My Hands (We Are One),SNAP!,315.03628,636611,Nick Cave & The Bad Seeds;Leann Rimes & Brian McFadden;Seatrain;Nights Like These;Ino
80,Four Days Late (Studio Track w/o Background Vocals),Karen Peck And New River,262.84363,6996958,Don Francisco;Los Cisnes;Chet Atkins;Tony Danza Tap Dance Extravaganza_ The;Daler Mehndi
81,We're Out Of Gas,Alan Silvestri,77.60934,663018,Mikey Dread;Samba Mapangala and Orchestra Virunga;Annie Minogue Band;Xose Manuel Budiño;The Lord Weird Slough Feg;Renee Rosnes;Be Bop Deluxe;Bruce BecVar;Bikini Machine;Winifred Phillips;Our Time Down Here;Furry Lewis;Svartthron;Crystals;Elliot Goldenthal;Los Hispanos;Lou Busch
82,Pleasure Zone Mix,Joy Kitikonti,413.04771,2124112,Rustless;Less Than Jake;Pat Green;Sukshinder Shinda;Mobb Deep;Mil
83,Corre_ Corre (Keep On Running),Los Salvajes,229.14567,4947546,Beenie Man;Drop Dead_ Gorgeous;André Minvielle;Miguel Gallardo;Kati;Pegy Zina
84,1900's Madness #1,Ennio Morricone,134.37342,3187313,U2;Tinariwen
85,Intro. (The Plan Album Version),Raze,25.88689,302004,Buzzov¬"en;Goose;Uriah Heep;Dead Kennedys;Shy FX & T Power
86,It's The Three Of Us Left,Rustless,119.53587,5363437,The Cate Brothers;Joy Kitikonti;African Rhythm Messengers;The Weegs;Tommy Sands;Dr Bombay;Toni Braxton Featuring Shaggy
87,After I Made Love To You,BMX Bandits,208.40444,3485801,Gary Morris;Virgil Moorefield;David Raksin;Jacques Higelin;Cassidy;Theodis Ealey;The Race;Play;A Different Breed of Killer;George Faith;Gail Davies
88,Monologue With the Sky,Havok,238.07955,4691753,Morton Gould;Aceyalone;The Clancy Brothers;Tommy Makem;Baby Bash;John Davis;Rebecca Lynn Howard;Anna Abreu
89,Shifter,Timo Maas featuring MC Chikaboo,333.87057,1600864,Frl.Menke;Brian Auger's Oblivion Express;X (Australia);Swallow The Sun;Pamelo Mounk'a;Kaizers Orchestra
90,Love Like This,Natasha Bedingfield,341.41995,4250379,Archie Bell and The Drells;Controlled Dissonance;Robin Beanland/Dweezil Zappa/Nile Rodgers/Rabbit In The Moon;Ocho y Media;Catherine Howe;!!!
91,Freed From Desire (Alternate Mix),Flame,259.18649,2595189,Luciano;Klubbingman feat. Beatrix Delgado;Dave Brockie Experience;Dave Graney & Clare Moore;Alice Stuart
92,Love You Again,Marc Dorsey,301.50485,5927087,Daryl Hall & John Oates;Bülent Ceylan;Antonio Koudele;Dottie West;Helen O'Connell;Herbert von Karajan and Turin RAI Symphony Orchestra
93,Where You From,DJ Godfather,33.14893,1896133,Buckeye Politicians;Taya wooden
94,Soundtracks and Come Backs (radio mix),Goldfish,208.79628,7520771,Michael English;Dynamite Deluxe;Lou Reid & Carolina;A Skylit Drive
95,Erick Sermon,Erick Sermon,198.63465,505627,Perez Prado_ His Orchestra
96,Half Way Out The Door (Live),Elvin Bishop,316.3424,2392536,Righteous Brothers;The Fray;The Chap;Eduardo Dusek;A Tundra;The Wiyos
97,Gloria,Julissa,262.73914,5311711,The Perrys;The Mad Capsule Markets;We Five;Erkki Junkkarinen;Charlie Cruz
98,Den S'Adiko,Natassa Theodoridou,212.06159,3456769,Cristy Lane;STEVE CAMP
99,Lion Paw,Fyah Blaze,217.25995,5170379,Despina Vandi;Daniel Paul;liquid soul & freq
100,The Michael Vick Song,Tim Wilson,166.84363,1699839,Hysterie;Molesta Ewenement;Tito Puenté;POLINA;Tad
101,Canta Una Canción De Amor,Alejandro Lerner,232.48934,3879353,Frank Stokes;Count Ossie;True Believers;Mademoiselle Sane;Art Ensemble Of Chicago;Fun Lovin' Criminals;Florida Boys;Original Love;Mike Vax;Jerry Reed;Debbie Davies;The Brooklyn Tabernacle Choir;The Vaughan Brothers
102,Point And Shoot (Demo),Pepper,264.59383,6617953,Doc Pomus;Dexy's Midnight Runners;Faith Hill;Tania Maria;Julio Iglesias Jr;JK;Peter Spence;Tanto Metro & Devonte;Vitamin C;Lynn August;Os Gaiteiros de Soutelo;Marilyn Horne / Wiener Opernorchester / Henry Lewis
103,Believe (Album Version),Josh Groban,258.40281,551046,Tim Exile;Gustavo Cerati;Chops;Samba Trio;Karen Peck & New River
104,Die Zeit,Oesch's die Dritten,168.28036,7314898,Hatebreed;Alain-François;Junie;Ramón Vargas;Anna Abreu
105,Tell Me,Toni Braxton,249.18159,3356801,Big One;Les Paul_ Mary Ford;Luke Bryan;Sandra Mihanovich
106,Subida y entrada al cante,Varios,321.67138,7763995,Charlie Khan;Sharon Shannon_ Carol Keogh
107,Honey Fingers,Richard Galliano,196.25751,5159435,Gal Costa / Maria Bethânia;Deep Blue Something;Dickies;Jimmy Page;Solitaire;Los Van Van
108,Passion_ Love & Pain (Feat. 25 Kids),Serpentine,244.92363,7868895,SNAP!;Earth;Soundgarden;Charlie McCoy;Dendemann;John Williams;Chris Clark;Kevin Burke;Ashtrax
109,Say Something,Tony Tuff,229.58975,7920860,Clementina De Jesus;The Family Stand;Henry Lee Summer;Patrick Samson
110,Kinky Woman,Jimmie Vaughan,207.09832,4609154,Ronnie Drew;Screaming Lord Sutch;Paul Thorn;9th Wonder featuring Defcon_ Phonte
111,In My Arms (Live Auditorio Nacional 08),Aleks Syntek,223.97342,4709815,Lily Allen;Amoral;Israel & Moises;Steve Wilson;Junior M. A. F. I. A.
112,Chi Chi Man,T.O.K.,208.50893,2013119,Electric Light Orchestra;Marilyn Horne;Winds Of Plague;Fiona;Los Tres Diamantes;Jordan & Baker;The Jason Bonham Band;Cool Connection;Brasilian Tropical Orchestra
113,At the Fountain (Reprise) (Brian d'Arcy James & Ensemble),Marvin Hamlisch;John Lithgow;Jeffrey Huard,99.70893,3224902,Ten Years After;Teena Marie;Herbert  von Karajan;T-Bone;Alkonost;Dino
114,N.Y. Electric / Hunter Interlude,Aesop Rock,310.80444,4946756,Edelweiss;Starski and Clutch;Tigerstyle;Inhume
115,Moonlight Serenade,Klaus Badelt,128.62649,328052,Josélito;Otis Spann;Timo Maas;Keb' Mo';Tony Danza Tap Dance Extravaganza_ The;Gene Clark
116,Love Happens Just Like That (LP Version),Bryan White,166.24281,8409002,Sonora Carruseles
117,Don't Take Your Love Away From Me (Album Version),Randy Travis,176.43057,6685298,Casiotone For The Painfully Alone;Rick Snel;The Kings;Misty Roses
118,Losing True (Album Version),The Roches,295.13098,8440211,Georges Delerue;Socialburn;Tinariwen;Sugarman Three
119,The Same Old Innocence,Architecture In Helsinki,210.49424,4554032,Roy Rogers;Frank Stokes;Anna Vissi;A Tundra;KALIMBA;Los Chichos;William Coulter;6CycleMind;Ashton Shepherd;Tony Mathews;Rated R;Luke Bryan;Souls Of Mischief
120,Teenage Queen (Album Version),Aiden,206.8371,1239469,Gaither Vocal Band;The Mars Volta;Alex Gopher;Karan Casey;Alfredo Kraus/Paul Plishka/Matteo Manuguerra/Sherrill Milnes/Trinity Boys' Choir/Ambrosian Opera Chorus/National Philharmonic Orchestra/James Levine;Checkers;Flávio José;ZombieSuckers;Taya wooden
121,S*B*Y,An Cafe,233.03791,4007599,Constance Demby;Hank Penny;Shapeshifters;Wesley Tuttle;KRS-One;Anubis Spire;Bruce Springsteen
122,Run,Lighthouse Family,241.24036,284223,Sandi Thom;Rising Lion;Christos Kedras;Scalplock;Soul Asylum;Larytta;Time Zone;SUE THOMPSON
123,the tales of King Solitude 1:3,Clockwise,404.68853,6514412,Mobb Deep featuring Nate Dogg;The All American Rejects;The Berzerker;Rea_ Chris;Nik & Jay;Ladybug;Petrol
124,The Golden Rocket,Johnny Horton,123.402,5304214,Alice Cooper;Greek Gypsy Musicians;Colombiafrica - The Mystic Orchestra;Les Hurlements D'leo;Magnatune Compilation;Judy Mowatt;Jim Jones featuring Oshy
125,It Doesn't Matter Where_ Just Drive,Snow Patrol,217.57342,3998449,Dropline;Kartik Seshadri
126,What To Do,Alias,257.95873,250757,Toni Braxton;V Sinizter;Reni;Mink DeVille;Leon Russel;Suzy Thompson;Five Bolt Main;Busdriver featuring Abstract Rude & Ellay Khule;George Hamilton IV;Chet Atkins;Deborah Coleman;Dave Graney & Clare Moore
127,Hey Sexy Lady,Shaggy / Brian & Tony Gold,199.94077,244357,Nikos Kalaintzis;A Tribe Called Quest;Richie Ray & Bobby Cruz;Energy;Fortitude
128,Edo Pou Ta Leme,Angela Dimitriou,163.29098,3085281,Pepe Romero;Dine et Déon;Gene Chandler
129,RAMUKA,Tri Atma,325.04118,640823,Robben Ford;John Stevens;Halfway to Gone;Ray Pillow;This Moment;Wes King;The Vaughan Brothers;Joell Ortiz;The Paynes
130,All Burned Out,Savoy Brown,171.62404,904169,System of a Down;He Is Legend;Ben Jelen;Necrodaemon;Onyx
131,Change The Way (Highlands Album Version),White Heart,287.9473,1548156,Music Explosion;The Continentals;Boondox;Billy Higgins_ Bob Berg_ Cedar Walton_ Tony Dumas;Zen Lemonade;Tony Mathews;Souls Of Mischief;Roger Clyne & The Peacemakers;Shifty;Commander Cody And His Lost Planet Airman
132,Girl Nation [Live],D.A.D.,259.94404,7557844,Mighty Joe Young;Moonface;John Wayne
133,You Know It's True,The Cat's Miaow,137.29914,5153844,It Dies Today;Cyndi Wang;Annie Philippe;Pretty Boy Floyd;Tullycraft;Beatnuts featuring Tony Touch
134,But Not For Me,Frank Vignola,234.44853,2740224,King Tee;The Sonics_ Charlie & The Tunas;Tantric;Dictators;Jeckyll & Hyde;The Irish Tenors;The Chi Lites;Shifty;Butterfly Temple
135,The Bottom Line,Rick Astley,317.83138,3107286,Unwritten Law;Flor Silvestre;Sabda Brahma;Boyz II Men;Undertakin' Daddies;Donny Hathaway
136,Roadhouse Blues (Live In Detroit) (LP Version),The Doors,403.61751,566883,Superchumbo;When Dinosaurs Ruled The Earth;Sammi Cheng;A Different Breed of Killer;Big Mike Griffin;Babe Ruth;Mario Piu';Showbread;El Tiempo;Big One;Annie Lennox;Anne Dudley;Gruppo Jazz Marca
137,The Cat Came Back,Laurie Berkner,167.00036,7029354,Ben Jelen;Lloyd Spiegel;France D'Amour
138,Let Him Fly,Patty Griffin,191.39873,166124,Less Than Jake;Grupo Batuque;James Last;Paul Stanley;Shadows Fall;Hurricane
139,Marrakech,ATB,262.21669,609661,Klimperei
140,Hiroshima,Utopia,449.2273,4137546,Billy Murray;Modern Lovers;David Zinman;Francky Vincent;Inspiral Carpets;Bobby Broom;Los Fernandos;Steve Morse;Modern Day Escape;Paula Santoro;Bitty McLean;Elvira;Juana Molina;Alexis HK;Tshala Muana;Albert Ayler;Carl Doy;Marco Polo;Stockhausen Waterman;Eddie Henderson;Fläskkvartetten / Thåström;Catherine King/Matthew Schwinghammer/The American Boychoir
141,Going Down,The Germs,111.49016,1378160,Organ Donors;The Ronettes
142,It'll All Come Around (Album Version),Back Door Slam,236.87791,6141539,Salt The Wound;The James Taylor Quartet;The Jets;Andrew W.K.;Eurythmics;The Harvey Averne Dozen;Taya wooden
143,Outside,Mariah Carey,286.30159,4585160,Rachel Loy;Asleep At The Wheel;Iggy And The Stooges;One Be Lo;Gruppo Jazz Marca
144,People Never Give Up,Curtis Mayfield,348.60363,3719584,Los Fabulosos Cadillacs;The Aftermath;Jefferson Starship;Ladybug
145,La Saint-Jean d'été,Jean Segurel,131.36934,3266424,Arthur Fiedler;John Van Tongeren;I.N.T.
146,Java Sparrow,Terry Callier,315.08853,425744,Geier Sturzflug;Vivian;Tilman Sillescu;The Creation;The Golden Age Orchestra_ Paul Summer ;Death Cab for Cutie;Raphaël;Seguridad Social;Jane Winther;Simon Harris;Gang Of Four;Wang Chung
147,Fritzy & Helen Hanft (Album),Mark Lowry,128.91383,7379273,Vodka Collins;Van Halen;Headliners;Bellatrax feat. Tina Cousins;Sylver;Stars Like Fleas
148,Playboy Theme,Bob Wills,90.69669,1101768,Monster Magnet;Mariah Carey;The Sex Pistols;DJ Phiene;The Token;Tranzas;Birdapres;State of Chaos;YZ;Spunk;Monty Are I;Fortitude;Ruffneck
149,Thanks God I'm A Country Boy,Mr. Blue,132.70159,2359614,Busdriver;Mighty Joe Young;Happy Mondays;Defari;50 Cent / Mobb Deep
150,Around The World,Parallel Sound,556.69506,5111412,The Germs;Janet Jackson Featuring Kanye West;John Frizzell;Memphis Jug Band;Moments In Grace;The Chico Hamilton Quintet;Izzy Stradlin And The Ju Ju Hounds;Alexisonfire;Ill Niño;Badmarsh & Shri;Jaco & Mixxmaster;Fat Joe;David Martin;Usher featuring Jermaine Dupri
151,Girls,Ayo,463.59465,1940597,The All-American Rejects;Theodis Ealey
152,Sanity Fades,Steel Rain,235.20608,1860265,Stew;David Tao;Don Campbell
153,Speak Low,Charlie Byrd,348.21179,3598658,Pictures of Then;Robben Ford;Headliners;Jean Ferret;Irtio;Sofia Karlsson;Sundial Aeon;Nick Conolly;Wilmington Chester Mass Choir
154,Gross Throw-up Burp (Sonnerie_ Ringtone),Blingtones,14.86322,7438383,Chris Farlowe;Count Ossie;Bebo Norman;Sugarbomb;Ashton Shepherd;Dream Warriors;Big Rich featuring Devo;Ronnie Milsap;Timo Maas;Planetakis;POLINA;Beatnuts featuring dead prez and Cheryl Pepsi Riley;Günter Noris
155,When A Man's In Love,The Chieftains,217.25995,3201897,Robert Lockwood_ Jr.;Wednesday 13's Frankenstein Drag Queens From Planet 13;Bescenta;Mystic Revelation of Rastafari;Dead Prez;Laid Back;BB King;The Antripodean Collective
156,Serenata,Orquesta Romantica de La Habana,200.75057,6850761,Rita Chiarelli;Camp Lo;Cassius Clay;Theodor Zox;Arne Weise;Barry Mann
